ship_id,trx_id,space,speed,skill,defence,attack,morale,price
12643,1349,6,10,12,15,7,6,0.26
7887,1355,13,13,10,6,9,7,0.26
33048,1357,6,6,12,12,10,9,0.16
13622,1361,11,15,13,6,15,14,0.39
7986,1364,11,14,14,15,14,5,0.3
17923,1368,8,13,6,12,5,5,0.2
3612,1379,8,13,10,13,5,9,0.25
29164,1382,15,11,11,5,13,9,0.26
17283,1388,15,7,15,14,8,13,0.298
17921,1392,10,16,7,11,14,13,0.3
31907,1394,11,9,6,10,15,10,0.33
17145,1407,14,10,7,16,15,12,0.5
14421,1412,7,12,13,13,14,6,0.148
11961,1415,11,12,6,13,12,10,0.13
28657,1416,5,13,11,8,7,7,0.155
32312,1421,6,5,6,8,5,5,0.101
17905,1425,5,14,7,8,13,15,0.19
12656,1427,14,8,15,11,10,14,0.28
8018,1428,9,9,13,10,7,12,0.22
11299,1430,7,15,15,8,7,13,0.18
42056,1434,8,15,10,13,15,8,0.294
29164,1448,15,11,11,5,13,9,0.22
12827,1456,15,15,11,11,5,14,0.39
25087,1466,12,14,11,13,14,9,0.29
8964,1470,6,6,11,14,8,10,0.14
29107,1472,15,13,14,11,6,6,0.2
13885,1474,11,11,10,15,8,11,0.14
11961,1477,11,12,6,13,12,10,0.25
7214,1480,13,15,6,11,14,5,0.25
276,1490,9,6,10,6,5,5,0.11
6777,1496,8,5,7,7,5,7,0.09
12645,1500,6,9,9,9,11,6,0.12
9560,1502,6,8,12,5,5,7,0.1
14421,1503,7,12,13,13,14,6,0.26
9685,1521,14,5,6,10,15,9,0.1
10338,1532,8,5,15,7,14,11,0.15
8662,1544,13,7,13,5,8,14,0.13
10190,1548,13,8,8,7,5,8,0.108
9210,1550,8,13,14,9,7,14,0.121
11962,1557,11,14,16,15,7,13,0.285
14105,1571,10,9,9,9,5,13,0.099
8662,1573,13,7,13,5,8,14,0.14
14406,1575,12,15,11,8,12,15,0.099
15158,1576,6,15,5,12,13,15,0.205
18156,1580,6,10,13,11,8,14,0.13
14611,1582,13,12,6,9,14,6,0.099
18383,1583,15,13,5,9,6,6,0.2
14791,1584,13,6,7,8,8,12,0.099
37970,1588,6,7,9,9,8,15,0.13
13112,1591,8,11,7,15,8,14,0.108
13808,1599,12,14,15,11,16,12,1.0
43514,1598,8,9,10,13,7,10,0.1
28577,1602,9,5,6,9,12,10,0.2
13112,1603,8,11,7,15,8,14,0.2
10338,1605,8,5,15,7,14,11,0.13
13587,1619,7,13,9,12,16,11,0.195
9989,1622,12,16,15,12,8,13,0.24
17058,1625,12,13,15,5,7,7,0.16
331,1626,9,9,8,13,7,13,0.11
15062,1634,9,13,5,5,7,7,0.12
20168,1635,9,12,6,14,6,9,0.106
331,1638,9,9,8,13,7,13,0.2
12564,1647,13,15,8,11,14,13,0.237
24796,1648,10,9,12,8,10,6,0.11
16052,1649,12,9,12,7,15,7,0.245
30301,1651,6,11,7,14,8,10,0.19
15329,1656,7,7,10,7,9,13,0.105
11528,1657,12,6,10,11,7,5,0.107
20519,1660,5,15,10,12,6,10,0.149
602,1662,12,12,9,12,13,14,0.3
585,1666,14,11,12,14,10,13,0.2
15029,1670,13,7,11,8,14,8,0.106
12076,1671,15,15,15,5,7,15,0.24
906,1672,7,5,8,12,6,9,0.105
20577,1673,5,9,6,12,12,10,0.105
11149,1675,14,8,10,7,10,9,0.15
802,1676,10,16,11,6,11,13,0.185
11866,1677,15,13,9,12,8,12,0.26
25058,1679,5,15,15,8,8,14,0.3
10964,1680,5,15,14,13,8,10,0.255
12382,1682,9,12,5,12,8,13,0.14
20606,1683,7,14,13,7,16,9,0.225
802,1692,10,16,11,6,11,13,0.28
33930,1695,5,8,5,13,7,5,0.095
15329,1704,7,7,10,7,9,13,0.177
5909,1705,6,12,7,8,6,5,0.145
16209,1709,7,9,6,12,10,15,0.095
585,1710,14,11,12,14,10,13,0.35
17360,1720,16,16,13,13,11,16,0.5
15062,1725,9,13,5,5,7,7,0.159
9685,1731,14,5,6,10,15,9,0.119
14421,1734,7,12,13,13,14,6,0.19
6669,1743,11,6,14,9,11,7,0.15
13375,1747,8,6,5,12,6,8,0.1
6701,1748,7,5,10,14,8,13,0.11
6714,1750,9,9,6,13,6,11,0.12
14047,1752,6,10,13,11,13,13,0.2
10863,1756,8,15,15,12,8,8,0.22
9560,1765,6,8,12,5,5,7,0.155
11171,1764,6,12,14,14,5,15,0.14
11289,1769,7,6,9,9,7,5,0.1
16195,1770,13,8,11,7,15,13,0.14
11954,1779,6,15,10,13,13,8,0.24
14636,1782,8,6,11,14,5,6,0.1
14659,1784,13,8,8,13,5,11,0.11
9766,1786,13,13,12,12,13,10,0.212
28305,1787,13,11,16,15,9,14,0.6
46062,1790,7,15,5,14,15,8,0.1
123,1792,8,8,11,14,13,11,0.34
18070,1796,15,5,11,7,13,10,0.15
13384,1797,12,16,7,13,12,12,0.5
6671,1798,11,15,15,8,14,12,0.499
7214,1801,13,15,6,11,14,5,0.26
8614,1805,11,12,9,7,14,14,0.2
15030,1810,5,10,7,13,7,9,0.09
12952,1813,9,10,13,8,6,13,0.09
9426,1816,15,5,8,5,15,7,0.15
18040,1817,11,11,12,15,15,12,0.31
9426,1818,15,5,8,5,15,7,0.25
15030,1819,5,10,7,13,7,9,0.149
32937,1822,8,7,10,9,12,6,0.18
19330,1823,8,7,5,9,5,13,0.09
12735,1824,12,8,10,10,9,6,0.099
46062,1831,7,15,5,14,15,8,0.185
13622,1834,11,15,13,6,15,14,0.32
28109,1837,12,15,5,5,12,10,0.21
12044,1839,11,13,14,11,12,14,0.2
47734,1844,5,9,6,7,5,8,0.2
18280,1845,11,13,14,9,10,7,0.12
13622,1849,11,15,13,6,15,14,0.35
9766,1857,13,13,12,12,13,10,0.32
12795,1859,5,9,11,11,7,14,0.098
6662,1862,8,13,8,9,14,12,0.214
8407,1866,13,16,12,12,7,9,0.5
20606,1875,7,14,13,7,16,9,0.29
43064,1876,7,5,12,13,9,14,0.2
7325,1877,10,15,11,6,10,13,0.12
12021,1878,9,15,12,9,5,5,0.12
26958,1881,7,15,11,7,10,8,0.165
18038,1883,13,15,11,13,6,15,0.25
2862,1890,6,12,6,8,15,7,0.55
12044,1892,11,13,14,11,12,14,0.35
14701,1895,11,15,11,14,5,10,0.189
19330,1898,8,7,5,9,5,13,0.09
46881,1901,13,7,10,15,7,15,0.15
14901,1907,8,6,9,7,7,13,0.1
17880,1908,5,12,9,15,11,11,0.2
906,1911,7,5,8,12,6,9,0.115
25429,1919,13,15,8,13,11,14,0.37
14051,1922,9,13,6,7,8,6,0.13
13909,1925,11,15,11,15,5,13,0.1
7325,1927,10,15,11,6,10,13,0.19
9702,1928,11,6,13,11,7,15,0.125
13909,1929,11,15,11,15,5,13,0.15
16489,1932,12,9,10,12,14,14,0.25
14791,1937,13,6,7,8,8,12,0.1
9047,1946,5,11,11,8,10,5,0.16
116,1949,14,5,6,6,5,8,0.1
14970,1957,7,15,11,9,8,7,0.11
12996,1960,15,13,12,13,5,15,0.325
24648,1961,10,11,8,9,11,9,0.154
10591,1964,5,9,5,5,7,11,0.118
16867,1965,11,15,9,9,6,14,0.11
14970,1973,7,15,11,9,8,7,0.134
12795,1979,5,9,11,11,7,14,0.11
4214,1993,9,11,9,6,10,5,0.27
28428,1996,6,6,8,8,7,14,0.085
16867,2002,11,15,9,9,6,14,0.13
12795,2010,5,9,11,11,7,14,0.144
14105,2018,10,9,9,9,5,13,0.13
28428,2022,6,6,8,8,7,14,0.104
16489,2024,12,9,10,12,14,14,0.25
931,2033,6,13,11,5,7,5,0.08
22139,2037,12,9,7,12,12,14,0.15
6777,2042,8,5,7,7,5,7,0.11
20832,2046,7,8,6,12,9,8,0.13
3188,2049,11,9,6,15,7,10,0.13
48169,2050,11,10,5,14,15,11,0.277
21627,2053,7,12,11,11,10,8,0.165
28735,2056,5,5,8,9,11,7,0.025
28735,2060,5,5,8,9,11,7,0.1
28300,2062,7,8,10,5,11,6,0.24
3363,2063,13,12,8,8,5,5,0.11
931,2067,6,13,11,5,7,5,0.094
42056,2071,8,15,10,13,15,8,0.2
5857,2080,11,10,12,9,14,15,0.22
4844,2089,10,15,5,8,15,11,0.27
15839,2093,5,15,6,13,13,11,0.23
47108,2096,13,6,5,8,15,15,0.099
22139,2100,12,9,7,12,12,14,0.21
12645,2105,6,9,9,9,11,6,0.161
6463,2107,6,12,15,6,7,14,0.17
14615,2108,5,13,5,12,13,8,0.15
24796,2109,10,9,12,8,10,6,0.15
28715,2114,11,10,6,13,6,8,0.12
26949,2116,6,8,10,8,8,8,0.127
931,2118,6,13,11,5,7,5,0.124
27338,2119,5,15,11,13,10,10,0.29
26417,2121,8,15,5,11,5,6,0.19
28715,2122,11,10,6,13,6,8,0.124
27974,2126,16,9,14,13,15,16,0.688
33885,2129,6,9,11,11,9,7,0.162
12111,2138,11,15,7,9,12,12,0.1
6331,2141,14,8,13,12,8,10,0.19
12111,2142,11,15,7,9,12,12,0.19
18575,2143,9,12,15,9,7,11,0.22
46062,2145,7,15,5,14,15,8,0.244
31855,2146,11,12,10,12,14,8,0.25
3314,2148,5,6,8,6,13,9,0.15
15530,2149,13,9,6,5,6,9,0.15
12111,2151,11,15,7,9,12,12,0.22
21510,2154,12,7,6,10,12,10,0.119
9766,2160,13,13,12,12,13,10,0.4
13762,2164,13,15,15,14,14,7,0.25
17305,2165,13,13,10,5,6,15,0.215
27586,2177,11,15,13,6,10,8,0.1
16498,2182,13,12,7,14,11,11,0.21
15108,2184,12,14,7,15,10,14,0.39
32653,2191,11,15,13,11,14,12,0.7
14970,2192,7,15,11,9,8,7,0.144
18035,2193,6,6,8,11,8,14,0.26
22420,2198,8,5,13,12,11,12,0.163
11813,2211,10,15,8,10,7,12,0.2
48194,2219,9,15,9,15,12,11,0.26
14744,2220,8,13,13,13,7,10,0.23
48194,2232,9,15,9,15,12,11,0.285
118,2243,8,13,8,14,15,8,0.22
14970,2245,7,15,11,9,8,7,0.11
39315,2247,7,15,11,11,13,15,0.25
116,2249,14,5,6,6,5,8,0.22
16768,2250,15,8,6,6,12,8,0.11
27941,2259,11,6,15,11,12,15,0.2
27941,2267,11,6,15,11,12,15,0.26
21447,2268,13,10,13,14,15,7,0.26
39315,2270,7,15,11,11,13,15,0.27
39315,2274,7,15,11,11,13,15,0.42
14421,2279,7,12,13,13,14,6,0.254
17921,2283,10,16,7,11,14,13,0.415
3205,2286,8,15,13,13,10,7,0.22
14970,2300,7,15,11,9,8,7,0.14
28701,2306,9,11,14,12,11,12,0.26
13762,2307,13,15,15,14,14,7,0.31
3329,2309,5,13,6,15,5,9,0.142
9453,2310,12,5,10,11,8,9,0.132
13762,2312,13,15,15,14,14,7,0.425
14527,2313,6,15,7,5,13,14,0.2
44068,2318,7,5,6,5,12,12,0.09
14970,2332,7,15,11,9,8,7,0.11
44067,2341,5,15,8,7,12,7,0.09
14970,2343,7,15,11,9,8,7,0.134
44069,2344,5,11,8,12,11,9,0.1
14937,2349,7,7,13,8,6,9,0.129
44069,2353,5,11,8,12,11,9,0.132
17018,2356,13,15,11,10,6,9,0.22
17908,2357,13,7,14,9,6,16,0.19
14596,2368,15,9,15,7,8,5,0.15
44068,2369,7,5,6,5,12,12,0.103
25435,2381,9,13,12,11,9,12,0.3
21734,2384,12,12,11,12,8,11,0.3
26726,2388,6,6,7,15,13,9,0.18
14970,2391,7,15,11,9,8,7,0.184
8556,2392,9,10,14,8,7,6,0.15
5857,2395,11,10,12,9,14,15,0.25
44069,2397,5,11,8,12,11,9,0.199
26353,2399,14,10,7,6,7,14,0.2
28425,2406,8,10,13,11,14,14,0.3
20168,2407,9,12,6,14,6,9,0.142
15967,2412,6,13,10,8,14,15,0.25
28947,2420,9,10,8,11,12,15,0.23
25087,2423,12,14,11,13,14,9,0.35
28955,2427,8,12,5,13,13,13,0.22
3067,2437,6,15,8,5,11,13,0.15
10046,2461,10,9,9,15,14,8,0.15
18219,2463,6,8,6,13,13,9,0.15
22729,2466,10,12,8,12,16,9,0.4
26533,2470,15,11,11,11,13,9,0.24
15507,2480,11,9,9,5,6,6,0.15
20191,2483,12,14,13,6,6,5,0.149
31792,2485,11,5,6,8,7,5,0.15
27906,2492,11,13,13,8,11,9,0.22
46331,2493,6,11,11,14,8,7,0.22
9453,2498,12,5,10,11,8,9,0.12
46235,2499,13,8,8,15,9,17,0.4
4427,2500,9,11,6,5,14,6,0.14
9453,2503,12,5,10,11,8,9,0.15
8241,2510,12,12,8,5,8,15,0.15
43989,2512,10,14,14,5,14,14,0.4
2915,2513,11,15,11,5,6,13,0.2
47216,2518,7,5,6,9,5,15,0.1
10228,2521,12,11,14,14,10,10,0.33
3205,2524,8,15,13,13,10,7,0.26
5290,2526,14,9,15,15,8,5,0.15
17604,2529,5,15,10,15,15,12,0.6
5290,2532,14,9,15,15,8,5,0.19
17995,2534,11,5,12,13,10,8,0.3
15138,2535,15,12,6,6,12,6,0.25
5334,2537,9,15,7,14,7,6,0.15
18,2539,12,6,6,15,7,9,0.7
6656,2542,6,8,5,10,6,11,0.15
3488,2544,10,6,11,6,16,12,0.24
43989,2547,10,14,14,5,14,14,0.694
47216,2549,7,5,6,9,5,15,0.095
14615,2550,5,13,5,12,13,8,0.17
28486,2553,8,15,11,11,10,13,0.33
24426,2556,11,15,12,12,10,10,0.45
17003,2557,11,12,13,9,13,10,0.299
11289,2564,7,6,9,9,7,5,0.1
1677,2568,13,11,10,10,9,14,0.2
35542,2569,9,5,14,7,7,5,0.136
11289,2571,7,6,9,9,7,5,0.149
48233,2574,5,13,9,9,13,10,0.15
9345,2578,11,12,10,14,15,16,0.6
25510,2580,12,14,6,12,15,14,0.5
5304,2581,14,13,11,13,11,7,0.25
48238,2582,7,15,13,6,6,13,0.18
12576,2585,5,8,8,5,10,13,0.154
28119,2590,7,8,16,7,7,8,0.23
15631,2598,7,15,7,8,11,15,0.25
27350,2605,12,11,13,9,6,7,0.23
17873,2607,10,8,5,14,14,8,0.15
24870,2608,11,15,11,15,13,15,1.5
11808,2610,11,13,13,12,9,6,0.2
3033,2612,12,16,9,6,6,14,0.4
20711,2622,12,13,11,10,6,12,0.1
6440,2624,5,9,11,10,13,15,0.25
3374,2629,11,13,6,9,13,11,0.19
25406,2630,12,13,11,5,11,12,0.2
25406,2632,12,13,11,5,11,12,0.26
5304,2633,14,13,11,13,11,7,0.305
3374,2634,11,13,6,9,13,11,0.222
26890,2638,11,13,9,8,14,10,0.195
28194,2648,13,8,6,14,5,6,0.15
9808,2652,11,5,11,13,12,13,0.2
19721,2653,6,13,15,10,10,11,0.25
25046,2665,14,10,15,9,14,9,0.22
18222,2666,12,9,15,10,15,11,0.4
6394,2668,10,10,5,6,12,7,0.15
15818,2672,6,14,7,12,15,12,0.25
6394,2676,10,10,5,6,12,7,0.22
44382,2678,11,10,9,9,8,8,0.15
33061,2686,12,14,9,6,6,8,0.21
26660,2688,11,13,9,9,13,11,0.253
28649,2694,8,7,10,8,6,11,0.14
20593,2705,5,5,6,5,13,6,0.114
3619,2706,11,15,13,13,14,7,0.24
14061,2708,7,9,15,13,8,11,0.2
10117,2711,8,15,15,10,13,9,0.27
3619,2713,11,15,13,13,14,7,0.3
11484,2718,8,5,13,7,13,13,0.15
14636,2722,8,6,11,14,5,6,0.169
3260,2730,8,5,6,7,14,12,0.199
26896,2733,12,15,12,14,7,9,0.4
17936,2736,12,12,9,8,14,8,0.25
17248,2746,10,13,14,14,15,13,0.737
19011,2761,12,13,11,13,13,14,1.0
48812,2774,8,6,15,8,7,12,0.16
12279,2785,9,11,14,13,12,11,0.21
32426,2788,14,13,5,12,7,12,0.07
48884,2790,6,15,8,8,5,12,0.16
48884,2791,6,15,8,8,5,12,0.2
3113,2793,5,5,7,8,6,13,0.13
48254,2794,5,5,7,14,14,12,0.2
8556,2801,9,10,14,8,7,6,0.2
9271,2803,5,13,13,12,6,7,0.2
930,2804,15,8,11,9,11,12,0.23
48397,2806,12,5,5,13,11,9,0.2
28311,2807,6,9,7,8,13,7,0.21
5891,2809,11,15,6,11,6,11,0.25
48852,2811,13,11,5,7,12,8,0.2
21648,2813,10,13,13,11,7,5,0.125
21648,2823,10,13,13,11,7,5,0.17
12279,2824,9,11,14,13,12,11,0.24
28175,2825,7,16,13,10,16,15,0.8
37701,2826,5,10,10,9,5,15,0.175
46323,2838,16,10,10,15,15,15,0.9
17837,2858,13,13,5,8,6,9,0.18
21124,2862,9,15,7,14,15,12,0.2
33613,2880,15,5,6,14,7,13,0.17
2569,2885,10,13,5,5,15,13,0.2
2569,2886,10,13,5,5,15,13,0.25
10278,2888,7,6,14,5,14,10,0.169
24859,2894,12,5,13,11,7,7,0.14
28187,2895,8,6,12,11,5,7,0.13
19883,2904,13,12,14,9,7,11,0.25
41300,2911,13,12,16,10,14,15,1.06
7215,2913,6,10,6,9,8,9,0.2
16658,2914,12,12,6,13,15,7,0.189
6764,2915,8,6,7,13,10,8,0.13
